id,author_id,created_at,text
77,kring_pajak,2025-07-18T08:57:56.000Z,"Hai, Kak.  Mohon maaf atas ketidaknyamanannya. Jika masih mengalami kendala yang sama setelah melakukan beberapa cara di atas, error pada laman Coretax DJP bisa dilaporkan melalui sistem MELATI untuk dibuatkan tiket permasalahan melalui helpdesk KPP atau layanan Kring Pajak"
78,kring_pajak,2025-07-18T08:56:52.000Z,"Hai, Kak.  Terkait pelaporan SPT Masa PPN, pada sistem Coretax kompensasi lebih bayar PPN akan secara otomatis diperhitungkan untuk Masa Pajak berikutnya. Oleh karena itu, tidak ada lagi menu pilihan Masa Pajak tujuan kompensasi pada pelaporan SPT Masa PPN di e-Faktur Coretax."
79,kring_pajak,2025-07-18T08:54:27.000Z,"Hai, Kak.  Taxmin konfirmasi terlebih dahulu. Apakah sudah dipastikan data kompensasi dari SPT Masa PPh Pasal 21 pembetulan yang dimaksud telah masuk di menu “Surat Pemberitahuan (SPT)-Dasbor Kompensasi” pada Coretax DJP? Dan apakah SPT Masa PPh Pasal 21 yang Kakak akan laporkan"
80,kring_pajak,2025-07-18T08:47:01.000Z,"Hai, Kak.  Apakah yang dimaksud adalah membuat faktur pajak pengganti? Jika iya, saat ini faktur pajak pengganti dapat dibuat melalui coretax ya kak.  Tks*Rika."
81,ishkzl_,2025-07-18T08:46:40.000Z,"ngebuat coretax sampe 1.3T tapi aktivasi akun masih harus ke KPP terdekat. sinting y djp. tu duit lu pake ape, ngaku gk!"
82,DDTCNews,2025-07-18T08:37:28.000Z,"Cara Mengajukan SKB PPh Atas Warisan Tanah-Bangunan Lewat Coretax  Pengalihan harta berupa tanah dan/atau bangunan karena waris juga memperoleh pengecualian kewajiban pembayaran atau pemungutan PPh, asal ada SKB dari DJP.  #ddtc #ddtcnews #KonsultasiPajak"
83,kring_pajak,2025-07-18T08:28:22.000Z,"Hai, Kak. Notifikasi tersebut muncul karena NIK belum terdaftar dalam sistem Coretax. Sehingga, sistem memberikan opsi kepada Wajib Pajak untuk menggunakan TIN 9990000000999000 sebagai TIN sementara penerima penghasilan pada bukti potong PPh Pasal 21.  Agar bukti potong dapat"
84,kring_pajak,2025-07-18T08:27:46.000Z,"Hai, Kak. Jika yang dimaksud merupakan Riwayat pelaporan SPT Tahunan PPh Orang Pribadi Tahun Pajak 2024, maka Kakak dapat mengecek Riwayat pelaporan tersebut di akun coretax kakak pribadi pada menu Surat Pemberitahuan > Surat Pemberitahuan > SPT Dilaporkan. Silahkan dipastikan"
85,kring_pajak,2025-07-18T08:26:03.000Z,"Hai, Kak. Terlampir tutorial pengajuan Permohonan Pengembalian Pajak yang Seharusnya Tidak Terutang melalui Coretax, ya. https://youtube.com/watch?v=tOMrynirIkA… Apabila kakak masih memerlukan informasi lebih lanjut, silahkan dapat menghubungi kami kembali melalui layanan telepon kring pajak"
86,Hanif_Az19,2025-07-18T08:19:08.000Z,Halo  @kring_pajak    Dapet fp dari vendor tetapi nmr serinya beda dengan yg ada di coretax   Contoh di coretax 4 digit terakhir dgn nmr 2000 tetapi pas cetak pdf itu muncul 1993   Thx Mohon untuk diberi jawaban
87,kring_pajak,2025-07-18T08:09:07.000Z,"Hai, Kak.  Untuk saat ini, pendaftaran NPWP dapat dilakukan secara online melalui http://coretaxdjp.pajak.go.id  Jika Kakak ingin melakukan pendaftaran NPWP bagi orang pribadi, panduannya dapat dilihat di laman berikut: http://pajak.go.id/sites/default/files/2024-09/Buku%20Manual%20Coretax%202024%20-%20Pendaftaran%20WP%20Orang%20Pribadi.pdf…  Merujuk pada Pasal 14 PER-7/PJ/2025,"
88,hiarckuniverse,2025-07-18T07:48:49.000Z,"Kak, ini jadinya gimana? Kemarin katanya sama saja baik isi di efaktur dekstop dan coretax tidak ada perbedaan, dan selama isi di field masing-masing, nama bkp/jkp cukup diisi namanya saja karena nantinya qty dan harga satuan otomatis masuk ke kolom nama barang -"
89,deluluf1girly,2025-07-18T07:40:40.000Z,"Halo  @kring_pajak   Dikolom faktur pajak keluaran pada saat sy upload faktur pajak, nama penandatanganan biasanya nama direktur. Ini berubah menjadi nama perusahaan.   Faktur upload hr ini namanya kembali jd nama direktur  Apakah terjadi perubahan pada sistem coretax?"
90,neverdoesexist,2025-07-18T07:38:01.000Z,"udh tau faktur pajaknya ribuan, kirim per minggu kek, skalinya ada revisi kan jd bingung karna udh keburu di upload ke coretax. monyettt"
91,jeanunnie_13,2025-07-18T07:37:05.000Z,"@kring_pajak  kak coretax lagi error kh? ini aku ada 27 nota gabisa di impor xml, padahal bulan"" kemarin tidak ada masalah dgn idtku costumer"" ini bisa di upload juga, template converter uda pakai yg terupdate, coretax ada perubahan lagi / error kak?"
92,kring_pajak,2025-07-18T07:35:11.000Z,"Hai, Kak. Iya Kak, untuk mendapatkan SKB PPh Pasal 22, dapat mengajukan permohonan SKB PPh Pasal 22, Wajib Pajak dapat mengajukan permohonan melalui Coretax atau ke KPP terdekat, ya Kak. Untuk ketentuannya dapat dilihat dalam Pasal 70 s.d 78 PER-8/PJ/2025. Untuk penyampaian SKB"
93,icakyourbae,2025-07-18T07:26:32.000Z,kata gw mah coretax kaya tai babi dongo
94,kring_pajak,2025-07-18T07:24:43.000Z,"Hai, Kak. Apakah belum muncul secara prepopulated? Kakak dapat  mengecek di Coretax pada menu Dokumen Lain Pajak Masukan - Pilih ""Create From Interface"". Nomor dokumen yang sama tidak dapat diinput dua kali.  Apabila belum muncul dan tidak bisa diinput secara manual, Kakak dapat"
95,kring_pajak,2025-07-18T07:23:42.000Z,"Hai, Kak. Mohon maaf atas ketidaknyamanannya. Atas kendala error 400 OK silakan mencoba untuk mengganti format date and region pada komputer yang digunakan menjadi UTC+7 Bangkok Hanoi Jakarta. Selain itu silakan juga mencoba langkah berikut sebelum mengakses Coretax:  1. Pastikan"
96,kring_pajak,2025-07-18T07:22:40.000Z,"Hai Kak, Terkait Pemberitahuan Ekspor Jasa Kena Pajak (PEJKP) tidak perlu pengajuan ke Bea Cukai terlebih dahulu, ya Kak. Kakak dapat langsung membuat dokumen PEJKP tersebut melalui Coretax dengan Langkah-langkah sesuai yang dijelaskan Taxmin sebelumnya, ya Kak.  Tks*Maro"
97,kring_pajak,2025-07-18T07:21:45.000Z,"Hai, Kak. Jika yang Kakak maksud adalah untuk pendaftaran NPWP Badan, Kakak bisa melakukan pendaftaran NPWP melalui laman Coretax pada http://coretaxdjp.pajak.go.id. Pada laman utama Coretax, silakan memilih menu “Daftar disini” untuk memulai pendaftaran NPWP. Pada Langkah Persiapan"
98,kring_pajak,2025-07-18T07:09:23.000Z,"Hai, Kak.  Terkait data pembetulan SPT Masa Desember tahun 2024 yang belum masuk Coretax, disebabkan karena masih dalam proses migrasi data.   Mohon menunggu migrasi data SPT tersebut secara berkala ya, Kak. Mohon maaf atas ketidaknyamanannya.  Tks*Atra"
99,silarakhito,2025-07-18T07:08:10.000Z,"Ntar tinggl deketmu hrs mikir coretax pulak, ooh tydaaaac"
100,kring_pajak,2025-07-18T07:03:05.000Z,"Hai, Kak. Mohon maaf atas ketidaknyamanannya. Sebelum membuka aplikasi coretax disarankan kakak mencoba Langkah berikut: 1. Clear cache dan cookies pada browser; 2. Gunakan New Private Window atau New Incognito Window; 3. Gunakan browser lain, jaringan lain atau perangkat"
101,alphaquila_,2025-07-18T05:02:52.000Z,"cuma bisa bilang ""hah apasihhh"" selama pake coretax"
102,bitteriepaws,2025-07-18T04:52:01.000Z,"OPEN JASA/JOKI PENGERJAAN LAPORAN KEUANGAN DAN AKUNTANSI + PERPAJAKAN   - Pph21, Pph23, Pph25, Final, dll - bisa sesuai request - harga bersahabat - untuk tugas maksimal S1 akuntansi/perpajakan  #zonauang #zonabu #coretax #djp #pajak #finance #tax"
103,pitaminsea,2025-07-18T04:51:34.000Z,Coretax ga jelas banget sumpahhh
104,akunpalsuwk,2025-07-18T04:44:47.000Z,"lek, long time no see.   izin tanya klo misalkan pengajuan pengembalian (restitusi) di coretax itu apa bisa dimasukkan ke deposit ya? soalnya rekening jg tdk muncul ketika ak pengajuan. tlg dijawab dan dibantu. makasiii  @kring_pajak"
105,galuh_Indah,2025-07-18T04:40:41.000Z,"@kring_pajak  kak infonya pemerintah memperpanjang (bebas pemotongan pajak buat UMKM) sampai tahun 2025, utk menerbitkan kembali S.KET nya di coretax melalui menu apa ya kak? karena di DJP pada menu KWSP sudah tidak bisa di buka lagi"
106,kring_pajak,2025-07-18T04:31:50.000Z,"Hi, Kak.  Mohon maaf sebelumnya atas ketidaknyamanannya. Apakah Kakak bermaksud akan merekam bukti potong di menu eBupot?  Jika benar, pastikan NIK yang kakak gunakan untuk login merupakan Pihak Terkait yang telah ditunjuk dalam aplikasi Coretax sebagai PIC ataupun sebagai"
107,icaneverbow,2025-07-18T04:28:23.000Z,Coretax bapuk banget anjilah
108,ciseukeik,2025-07-18T04:28:04.000Z,"Karena masalah coretax gua jdi mikir initu sebenernya negara ini kaya banget gasi? Cuma korupsinya emang ""nggilani"" atau indonesia ga pinter ngatur uangnya? Soalnya indo kalo apa2 tuh selalu over budget, atau gua yg gak tau harga pasar materialnya?"
109,rifkialfahrizal,2025-07-18T04:16:49.000Z,Min untuk penonaktifannya di coretax boleh diinfokan caranya?
110,destananda,2025-07-18T04:10:11.000Z,"berarti pegawai A bisa dapat bukti Potongnya 2 ya, dari Pusat & Cabang, secara system coretax saya belum coba neh bisa jadi nanti pada saat bikin 1721 A1 Pusat, gaji nya ngebaca semua penghasilan yg dari pusat & Cabang, atau sebalik nya pada saat pembuatan Bupot 1721 A1 Cabang.."
111,akuntanjasa,2025-07-18T04:00:00.000Z,"Alooh Open Jasa  - Pembetulan SPT - SPT masa 15, 21, 22, 23, 26, 4 (2), Bulanan Unifikasi - Pembuatan Laporan Keuangan - Pembuatan Surat Keterangan Bebas Fiskal/Surat Keterangan Fiskal   #zonauang #jokipajak  #coretax"
112,blckrosesoonday,2025-07-18T03:29:57.000Z,coretax eror ya? kok buffering mulu
113,mogumiguz,2025-07-18T03:19:59.000Z,"nyoba pake coretax aja lo gak pernah, gimana lo mau tahu seberapa anehnya coretax!"
114,nissaxsha,2025-07-18T03:17:23.000Z,"Starter pack kerja sebagai konsultan pajak, musuh nya coretax   VOOVA Tas Laptop, 12""-16"" Jinjing Protable Waterproof"
115,glowiecloud,2025-07-18T03:11:00.000Z,coretax lama bgt loading anjay
116,derafa74,2025-07-18T03:02:05.000Z,"Klo hanya klik refresh ga usah diinfo min, tiap hari kita pakai coretax, wa kpp ga pernah di respon pertnyaannya"
117,akuntanjasa,2025-07-18T03:00:00.000Z,"Hiy Open Jasa  ~ Pembetulan SPT ~ SPT masa 15, 21, 22, 23, 26, 4 (2), Bulanan Unifikasi ~ Lapor SPT Tahunan Kurang Bayar/Lebih Bayar 10jt-800jt ~ Pembuatan Surat Keterangan Bebas Fiskal/Surat Keterangan Fiskal   #zonauang #coretax  #jokipajak"
118,Ucay99,2025-07-18T02:57:45.000Z,"@kring_pajak  selamat pagi kring pajak, mau tanya terkait nota retur pajak keluaran, ini sudah terbit, perlu klik apa2 dulu ga seperti desktop efaktur sblmnya, apa sudah otomatis motong di coretax ini?"
119,M4ngU5il,2025-07-18T01:48:35.000Z,...spt-nya coretax sengaja didisain untuk menarik pajak tambahan melalui akal2-an denda?...
120,kring_pajak,2025-07-18T01:48:28.000Z,"Hai, Kak. Untuk melihat nomor KK yang terdaftar pada data unit keluarga suami, silakan membuka akun Coretax suami terlebih dahulu dan cek pada menu Portal Saya > Profil Saya > unit keluarga/Family Tax Unit (FTU) ya.   Tks*Muna"
121,pajaksumut1,2025-07-18T01:39:44.000Z,"Kegiatan ini diikuti oleh bendahara pengeluaran di unit Kanwil Kemenag Sumut. Dengan Penyuluh Kanwil DJP Sumut I sebagai narasumber, para bendahara diberikan paparan komprehensif mengenai fitur-fitur utama dalam sistem Coretax,"
122,pajaksumut1,2025-07-18T01:39:43.000Z,"Kanwil DJP Sumatera Utara I menggelar kegiatan Sosialisasi dan Asistensi Coretax di Aula Kanwil Kementerian Agama Provinsi Sumatera Utara, Rabu (16/7)."
123,cinswizzle,2025-07-18T01:39:05.000Z,"@kring_pajak  halo, saya sudah melakukan SPT pembetulan PPN di coretax dan sudah muncul di dasbor kompensasi, tp angka LBnya belum muncul2 juga di SPT masa juni (saya sudah coba posting ulang SPT berkali2). bagaimana ya solusinya?"
124,kring_pajak,2025-07-18T01:35:29.000Z,"Hai, Kak. Aktivasi Akun Wajib Pajak melalui portal Coretax dapat disetujui dan disimpan sepanjang detail kontak yaitu E-mail, nomor telepon dan validasi verifikasi identitas (swafoto) Wajib Pajak telah tervalidasi (tercentang hijau).  Apabila diyakini isian tersebut sudah valid"
125,kring_pajak,2025-07-18T01:32:23.000Z,"Hai, Kak.  Sebagai informasi pelaporan SPT Tahunan PPh tahun pajak 2025 di tahun depan akan dilakukan melalui laman Coretax DJP. Oleh sebab itu, untuk dapat melakukan pelaporan dan mendapatkan layanan melalui Coretax DJP harus terlebih dahulu melakukan aktivasi akun di laman"
126,kring_pajak,2025-07-18T01:31:49.000Z,"Hai, Kak.  Apakah yang dimaksud bukti potong A1 untuk tahun pajak 2025?    Notifikasi ""NIK invalid"" pada laman Coretax disebabkan karena atas NIK tersebut belum pemadanan/belum aktivasi NIK sebagai NPWP/belum registrasi akun Coretax.  Apabila lawan transaksi telah memenuhi"
127,xxxinanbluu,2025-07-18T01:27:33.000Z,"mau tanya skrg faktur pajak di nama bkp/jkp apa hrs ditulis jmlh unit dan harga jualnya sesuai di lampiran per 11 pj 2025, sedangkan di coretax sudah ada kolom unit, harga jual. kalau dari customer meminta namanya hrs sesuai inv bagaimana ya?  @kring_pajak"
128,Freyyyyaaaaaa,2025-07-18T01:22:16.000Z,@kring_pajak  kenapa ketika mau membuat ebupot PPH21 auto langsung logout ya dari aplikasi coretax? dan ini daei kemarin
129,kring_pajak,2025-07-18T01:20:21.000Z,"Hai, Kak. Mohon maaf atas ketidaknyamanannya. Apakah masih mengalami kendala yang sama? Terkait kendala loading pada saat pendaftaran NPWP melalui Coretax, silakan ditunggu terlebih dahulu ya, Kak. Jika masih belum bisa dan belum berhasil terkirim pendaftaran NPWP-nya, silakan"
130,arashthirt,2025-07-18T00:04:52.000Z,Coretax oalah coretax
131,Razorian3,2025-07-17T23:58:40.000Z,Eror coretax nya?
132,Justmet12,2025-07-17T23:55:01.000Z,"IKN, kertajati, kereta cepat, coretax???"
